url,product_id,product_type,brand,target_keywords,brief_date,brief_file_path,implementer,implementation_date,crawl_verified_date,baseline_impressions,baseline_clicks,baseline_position,baseline_ctr,merchant_listing_status,product_schema_status,review_schema_status,day_30_impressions,day_30_clicks,day_30_position,day_30_ctr,day_60_impressions,day_60_clicks,day_60_position,day_60_ctr,status,notes,primary_keyword,normalized_primary,normalized_target_keywords,primary_volume,ceded_from,kw_source,kw_recorded_date
/products/nike-zoom-superfly-11-elite-artificial-grass-pro-soccer-cleats-breakout-pack-su26,IO8221-900,cleat,nike,nike mercurial superfly 11 elite ag,2026-06-08,deliverables/page-optimizations/2026-06-08_session-01/nike-zoom-superfly-11-elite-artificial-grass-pro-soccer-cleats-breakout-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,nike mercurial superfly 11 elite ag,nike mercurial superfly 11 elite ag,nike mercurial superfly 11 elite ag,,,brief Primary keyword field,2026-06-08
/products/nike-zoom-superfly-11-elite-firm-ground-soccer-cleats-breakout-pack-su26,IO8219-900,cleat,nike,nike mercurial superfly 11 elite fg,2026-06-08,deliverables/page-optimizations/2026-06-08_session-01/nike-zoom-superfly-11-elite-firm-ground-soccer-cleats-breakout-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,nike mercurial superfly 11 elite fg,nike mercurial superfly 11 elite fg,nike mercurial superfly 11 elite fg,,,brief Primary keyword field,2026-06-08
https://www.prosoccer.com/products/adidas-f50-hyperfast-club-firm-multi-ground-soccer-cleats-road-to-glory-pack-sp26,IH9375,cleat,adidas,adidas f50 club,2026-06-10,deliverables/page-optimizations/2026-06-10_session-01/adidas-f50-hyperfast-club-firm-multi-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,primary from _audit-trail.md KIRA table,adidas f50 club,adidas f50 club,adidas f50 club,210,,audit-trail.md,2026-06-10
https://www.prosoccer.com/products/adidas-f50-hyperfast-elite-firm-ground-soccer-cleats-road-to-glory-pack-su26,JR5386,cleat,adidas,adidas f50 elite,2026-06-10,deliverables/page-optimizations/2026-06-10_session-01/adidas-f50-hyperfast-elite-firm-ground-soccer-cleats-road-to-glory-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,primary from _audit-trail.md KIRA table,adidas f50 elite,adidas f50 elite,adidas f50 elite,6600,,audit-trail.md,2026-06-10
https://www.prosoccer.com/products/adidas-f50-hyperfast-elite-laceless-firm-ground-soccer-cleats-road-to-glory-pack-sp26,KJ6080,cleat,adidas,adidas f50 elite laceless,2026-06-10,deliverables/page-optimizations/2026-06-10_session-01/adidas-f50-hyperfast-elite-laceless-firm-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,primary from _audit-trail.md KIRA table,adidas f50 elite laceless,adidas f50 elite laceless,adidas f50 elite laceless,1600,,audit-trail.md,2026-06-10
https://www.prosoccer.com/products/adidas-f50-hyperfast-league-mid-firm-ground-soccer-cleats-road-to-glory-pack-sp26,KJ6714,cleat,adidas,adidas f50 league,2026-06-10,deliverables/page-optimizations/2026-06-10_session-01/adidas-f50-hyperfast-league-mid-firm-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,primary from _audit-trail.md KIRA table,adidas f50 league,adidas f50 league,adidas f50 league,880,,audit-trail.md,2026-06-10
https://www.prosoccer.com/products/adidas-f50-hyperfast-league-turf-soccer-shoes-road-to-glory-pack-sp26,IH4582,cleat-turf,adidas,adidas f50 league turf,2026-06-10,deliverables/page-optimizations/2026-06-10_session-01/adidas-f50-hyperfast-league-turf-soccer-shoes-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,primary from _audit-trail.md KIRA table,adidas f50 league turf,adidas f50 league turf,adidas f50 league turf,70,,audit-trail.md,2026-06-10
https://www.prosoccer.com/products/adidas-f50-hyperfast-pro-firm-ground-soccer-cleats-road-to-glory-pack-sp26,IH9345,cleat,adidas,adidas f50 pro,2026-06-10,deliverables/page-optimizations/2026-06-10_session-01/adidas-f50-hyperfast-pro-firm-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,primary from _audit-trail.md KIRA table,adidas f50 pro,adidas f50 pro,adidas f50 pro,1600,,audit-trail.md,2026-06-10
https://www.prosoccer.com/products/adidas-f50-hyperfast-pro-indoor-soccer-shoes-road-to-glory-pack-sp26,IH4571,shoe-indoor,adidas,adidas f50 indoor,2026-06-10,deliverables/page-optimizations/2026-06-10_session-01/adidas-f50-hyperfast-pro-indoor-soccer-shoes-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,primary from _audit-trail.md KIRA table,adidas f50 indoor,adidas f50 indoor,adidas f50 indoor,320,,audit-trail.md,2026-06-10
https://www.prosoccer.com/products/adidas-f50-hyperfast-pro-turf-soccer-shoes-road-to-glory-pack-sp26,IH4567,cleat-turf,adidas,adidas f50 turf,2026-06-10,deliverables/page-optimizations/2026-06-10_session-01/adidas-f50-hyperfast-pro-turf-soccer-shoes-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,primary from _audit-trail.md KIRA table,adidas f50 turf,adidas f50 turf,adidas f50 turf,720,,audit-trail.md,2026-06-10
https://www.prosoccer.com/products/nike-2026-croatia-mens-stadium-away-soccer-jersey,J000693-CRFT,jersey,nike,croatia jersey 2026,2026-06-10,deliverables/page-optimizations/2026-06-10_session-01/nike-2026-croatia-mens-stadium-away-soccer-jersey_brief.md,,,,,,,,,,,,,,,,,,,shipped,primary from _audit-trail.md KIRA table,croatia jersey 2026,croatia jersey 2026,croatia jersey 2026,390,,audit-trail.md,2026-06-10
https://www.prosoccer.com/products/nike-vapor-17-pro-firm-ground-soccer-cleats-breakout-pack-su26,IO8225-900,cleat,nike,nike mercurial vapor 17 pro,2026-06-10,deliverables/page-optimizations/2026-06-10_session-01/nike-vapor-17-pro-firm-ground-soccer-cleats-breakout-pack-su26_brief.md,,,,,,,,,,,,,,,,,,,shipped,primary from _audit-trail.md KIRA table,nike mercurial vapor 17 pro,nike mercurial vapor 17 pro,nike mercurial vapor 17 pro,10,,audit-trail.md,2026-06-10
https://www.prosoccer.com/products/adidas-f50-hyperfast-league-indoor-soccer-shoes-road-to-glory-pack-sp26,IH4577,shoe-indoor,adidas,adidas f50 indoor soccer shoes;adidas f50 road to glory;adidas f50 league indoor;adidas f50,2026-06-15,deliverables/page-optimizations/2026-06-15_session-01/IH4577_adidas-f50-hyperfast-league-indoor-soccer-shoes-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas f50 indoor soccer shoes,adidas f50 indoor soccer shoes,adidas f50 indoor soccer shoes;adidas f50 road to glory;adidas f50 league indoor;adidas f50,480,,brief Keywords table,2026-06-15
https://www.prosoccer.com/products/adidas-junior-f50-hyperfast-club-firm-multi-ground-soccer-cleats-road-to-glory-pack-sp26,KK1307,cleat,adidas,adidas junior f50 club;adidas f50 road to glory;adidas youth soccer cleats;adidas f50 youth,2026-06-15,deliverables/page-optimizations/2026-06-15_session-01/KK1307_adidas-junior-f50-hyperfast-club-firm-multi-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas junior f50 club,adidas junior f50 club,adidas junior f50 club;adidas f50 road to glory;adidas youth soccer cleats;adidas f50 youth,0* (GSC override pos 10),,brief Keywords table,2026-06-15
https://www.prosoccer.com/products/adidas-junior-f50-hyperfast-elite-firm-ground-soccer-cleats-road-to-glory-pack-sp26,IH4451,cleat,adidas,adidas junior f50 elite fg;adidas f50 road to glory;adidas youth soccer cleats;youth soccer cleats;adidas f50 youth;f50 youth cleats,2026-06-15,deliverables/page-optimizations/2026-06-15_session-01/IH4451_adidas-junior-f50-hyperfast-elite-firm-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas junior f50 elite fg,adidas junior f50 elite fg,adidas junior f50 elite fg;adidas f50 road to glory;adidas youth soccer cleats;youth soccer cleats;adidas f50 youth;f50 youth cleats,0* (GSC override pos 7),,brief Keywords table,2026-06-15
https://www.prosoccer.com/products/adidas-junior-f50-hyperfast-league-mid-firm-ground-soccer-cleats-road-to-glory-pack-sp26,KK1315,cleat,adidas,adidas junior f50 league mid;adidas f50 road to glory;adidas youth soccer cleats;adidas f50 youth,2026-06-15,deliverables/page-optimizations/2026-06-15_session-01/KK1315_adidas-junior-f50-hyperfast-league-mid-firm-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas junior f50 league mid,adidas junior f50 league mid,adidas junior f50 league mid;adidas f50 road to glory;adidas youth soccer cleats;adidas f50 youth,0* (no GSC signal yet),,brief Keywords table,2026-06-15
https://www.prosoccer.com/products/adidas-junior-f50-hyperfast-league-turf-soccer-shoes-road-to-glory-pack-sp26,KK1319,cleat-turf,adidas,adidas junior f50 turf;adidas f50 road to glory;youth turf soccer shoes;adidas f50 youth,2026-06-15,deliverables/page-optimizations/2026-06-15_session-01/KK1319_adidas-junior-f50-hyperfast-league-turf-soccer-shoes-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas junior f50 turf,adidas junior f50 turf,adidas junior f50 turf;adidas f50 road to glory;youth turf soccer shoes;adidas f50 youth,0* (GSC override pos 1),,brief Keywords table,2026-06-15
https://www.prosoccer.com/products/adidas-junior-predator-elite-fold-over-tongue-firm-ground-soccer-cleats-road-to-glory-pack-sp26,HP9970,cleat,adidas,adidas junior predator elite fg;adidas predator road to glory;adidas predator youth;youth predator cleats,2026-06-15,deliverables/page-optimizations/2026-06-15_session-01/HP9970_adidas-junior-predator-elite-fold-over-tongue-firm-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas junior predator elite fg,adidas junior predator elite fg,adidas junior predator elite fg;adidas predator road to glory;adidas predator youth;youth predator cleats,0* (no GSC signal yet),,brief Keywords table,2026-06-15
https://www.prosoccer.com/products/adidas-junior-predator-league-fold-over-tongue-firm-ground-soccer-cleats-road-to-glory-pack-sp26,HP9998,cleat,adidas,adidas junior predator league;adidas predator road to glory;adidas predator youth;youth predator cleats,2026-06-15,deliverables/page-optimizations/2026-06-15_session-01/HP9998_adidas-junior-predator-league-fold-over-tongue-firm-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas junior predator league,adidas junior predator league,adidas junior predator league;adidas predator road to glory;adidas predator youth;youth predator cleats,0* (no GSC signal yet),,brief Keywords table,2026-06-15
https://www.prosoccer.com/products/adidas-predator-elite-firm-ground-soccer-cleats-road-to-glory-pack-sp26,HP9973,cleat,adidas,adidas predator elite fg;adidas predator road to glory;adidas predator elite;adidas predator cleats;adidas predator,2026-06-15,deliverables/page-optimizations/2026-06-15_session-01/HP9973_adidas-predator-elite-firm-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas predator elite fg,adidas predator elite fg,adidas predator elite fg;adidas predator road to glory;adidas predator elite;adidas predator cleats;adidas predator,1000,,brief Keywords table,2026-06-15
https://www.prosoccer.com/products/adidas-predator-elite-fold-over-tongue-artificial-grass-soccer-cleats-road-to-glory-pack-sp26,HP9971,cleat,adidas,adidas predator elite ag;adidas predator road to glory;adidas predator elite;adidas predator artificial grass,2026-06-15,deliverables/page-optimizations/2026-06-15_session-01/HP9971_adidas-predator-elite-fold-over-tongue-artificial-grass-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas predator elite ag,adidas predator elite ag,adidas predator elite ag;adidas predator road to glory;adidas predator elite;adidas predator artificial grass,590,,brief Keywords table,2026-06-15
https://www.prosoccer.com/products/adidas-predator-elite-laceless-firm-ground-soccer-cleats-road-to-glory-pack-sp26,HP9967,cleat,adidas,adidas predator elite laceless;adidas predator road to glory;adidas predator elite;adidas predator laceless,2026-06-15,deliverables/page-optimizations/2026-06-15_session-01/HP9967_adidas-predator-elite-laceless-firm-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas predator elite laceless,adidas predator elite laceless,adidas predator elite laceless;adidas predator road to glory;adidas predator elite;adidas predator laceless,390,,brief Keywords table,2026-06-15
https://www.prosoccer.com/products/adidas-junior-predator-league-fold-over-tongue-turf-soccer-shoes-road-to-glory-pack-sp26,HQ0007,cleat-turf,adidas,adidas junior predator league turf fold over;adidas predator road to glory;adidas predator youth;junior predator turf,2026-06-17,deliverables/page-optimizations/2026-06-17_session-01/HQ0007_adidas-junior-predator-league-fold-over-tongue-turf-soccer-shoes-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas junior predator league turf fold over,adidas junior predator league turf fold over,adidas junior predator league turf fold over;adidas predator road to glory;adidas predator youth;junior predator turf,0* (no GSC signal yet),,brief Keywords table,2026-06-17
https://www.prosoccer.com/products/adidas-junior-predator-league-turf-soccer-shoes-road-to-glory-pack-sp26,KK3725,cleat-turf,adidas,adidas junior predator league turf;adidas predator road to glory;adidas predator youth;junior predator turf shoes,2026-06-17,deliverables/page-optimizations/2026-06-17_session-01/KK3725_adidas-junior-predator-league-turf-soccer-shoes-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas junior predator league turf,adidas junior predator league turf,adidas junior predator league turf;adidas predator road to glory;adidas predator youth;junior predator turf shoes,0* (no GSC signal yet),,brief Keywords table,2026-06-17
https://www.prosoccer.com/products/adidas-kids-predator-club-fold-over-tongue-firm-multi-ground-soccer-cleats-road-to-glory-pack-sp26,KJ6746,cleat,adidas,adidas kids predator club;adidas predator road to glory;adidas predator youth;kids predator cleats,2026-06-17,deliverables/page-optimizations/2026-06-17_session-01/KJ6746_adidas-kids-predator-club-fold-over-tongue-firm-multi-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas kids predator club,adidas kids predator club,adidas kids predator club;adidas predator road to glory;adidas predator youth;kids predator cleats,0* (no GSC signal yet),,brief Keywords table,2026-06-17
https://www.prosoccer.com/products/adidas-predator-club-fold-over-tongue-firm-multi-ground-soccer-cleats-road-to-glory-pack-sp26,HQ2273,cleat,adidas,adidas predator club;adidas predator road to glory;predator club cleats;adidas predator firm multi ground;predator fg mg,2026-06-17,deliverables/page-optimizations/2026-06-17_session-01/HQ2273_adidas-predator-club-fold-over-tongue-firm-multi-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas predator club,adidas predator club,adidas predator club;adidas predator road to glory;predator club cleats;adidas predator firm multi ground;predator fg mg,260,,brief Keywords table,2026-06-17
https://www.prosoccer.com/products/adidas-predator-elite-fold-over-tongue-firm-ground-soccer-cleats-road-to-glory-pack-sp26,JP6237,cleat,adidas,adidas predator elite fold over tongue fg;adidas predator road to glory;adidas predator elite;predator elite fold over tongue;predator fg cleats,2026-06-17,deliverables/page-optimizations/2026-06-17_session-01/JP6237_adidas-predator-elite-fold-over-tongue-firm-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas predator elite fold over tongue fg,adidas predator elite fold over tongue fg,adidas predator elite fold over tongue fg;adidas predator road to glory;adidas predator elite;predator elite fold over tongue;predator fg cleats,sub-floor* (GSC pos 7.9 733 impr on adjacent query),,brief Keywords table,2026-06-17
https://www.prosoccer.com/products/adidas-predator-league-fold-over-tongue-firm-ground-soccer-cleats-road-to-glory-pack-sp26,JP6271,cleat,adidas,adidas predator league fg;adidas predator road to glory;adidas predator league;predator league firm ground;predator fg cleats,2026-06-17,deliverables/page-optimizations/2026-06-17_session-01/JP6271_adidas-predator-league-fold-over-tongue-firm-ground-soccer-cleats-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas predator league fg,adidas predator league fg,adidas predator league fg;adidas predator road to glory;adidas predator league;predator league firm ground;predator fg cleats,260,,brief Keywords table,2026-06-17
https://www.prosoccer.com/products/adidas-predator-league-fold-over-tongue-turf-soccer-shoes-road-to-glory-pack-sp26,IH7212,cleat-turf,adidas,adidas predator league turf;adidas predator road to glory;adidas predator turf;adidas predator league;predator turf shoes,2026-06-17,deliverables/page-optimizations/2026-06-17_session-01/IH7212_adidas-predator-league-fold-over-tongue-turf-soccer-shoes-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas predator league turf,adidas predator league turf,adidas predator league turf;adidas predator road to glory;adidas predator turf;adidas predator league;predator turf shoes,90 (just below floor held for surface uniqueness),,brief Keywords table,2026-06-17
https://www.prosoccer.com/products/adidas-predator-pro-fold-over-turf-soccer-shoes-road-to-glory-pack-sp26,HQ2254,cleat-turf,adidas,adidas predator pro turf;adidas predator road to glory;adidas predator pro;adidas predator turf;predator pro turf shoes,2026-06-17,deliverables/page-optimizations/2026-06-17_session-01/HQ2254_adidas-predator-pro-fold-over-turf-soccer-shoes-road-to-glory-pack-sp26_brief.md,,,,,,,,,,,,,,,,,,,shipped,,adidas predator pro turf,adidas predator pro turf,adidas predator pro turf;adidas predator road to glory;adidas predator pro;adidas predator turf;predator pro turf shoes,260 (GSC pos 4.1 561 impr),,brief Keywords table,2026-06-17
https://www.prosoccer.com/products/nike-2026-croatia-womens-stadium-home-soccer-jersey,J000691-CRFT,jersey,nike,croatia womens home jersey 2026;croatia 2026 home jersey women;croatia national team jersey;nike croatia jersey,2026-06-17,deliverables/page-optimizations/2026-06-17_session-01/J000691-CRFT_nike-2026-croatia-womens-stadium-home-soccer-jersey_brief.md,,,,,,,,,,,,,,,,,,,shipped,,croatia womens home jersey 2026,croatia womens home jersey 2026,croatia womens home jersey 2026;croatia 2026 home jersey women;croatia national team jersey;nike croatia jersey,0* (no GSC signal yet),,brief Keywords table,2026-06-17
